char,Status,Runtime,MIPGap,ObjVal,ofT,ofH,ofTx
a,9,7200.6978850364685,1e+100,1e+100,0,0,0
b,9,7200.596799135208,1e+100,1e+100,0,0,0
c,9,7200.636438846588,1e+100,1e+100,0,0,0
d,9,7201.004712104797,1e+100,1e+100,0,0,0
e,9,7200.8494329452515,1e+100,1e+100,0,0,0
f,9,7201.002862215042,1e+100,1e+100,0,0,0
g,9,7200.881924152374,1e+100,1e+100,0,0,0
h,9,7200.9989540576935,1e+100,1e+100,0,0,0
i,9,7200.679612159729,1e+100,1e+100,0,0,0
j,9,7200.980381965637,1e+100,1e+100,0,0,0
Average,,7200.83,1e+100,1e+100,0.0,0.0,0.0
