char,v_1,v_0,pw_0,pw_1,pw_3,pw_5,pw_10,pw_15,pw_25,pw_39,pw_50,sf_7,sf_8,sf_9,sf_10,sf_11,sf_12,sf_total
a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
c,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
d,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
e,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
f,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
g,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
h,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
j,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
