char,v_1,v_0,pw_0,pw_1,pw_3,pw_5,pw_10,pw_15,pw_25,pw_39,pw_50,sf_7,sf_8,sf_9,sf_10,sf_11,sf_12,sf_total
a,13,0,0,72,28,0,0,0,0,0,0,13,15,53,19,0,0,100
b,13,0,0,75,25,0,0,0,0,0,0,14,11,54,21,0,0,100
c,13,0,0,64,36,0,0,0,0,0,0,12,24,44,20,0,0,100
d,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
e,13,0,0,72,28,0,0,0,0,0,0,15,13,64,8,0,0,100
f,13,0,0,72,28,0,0,0,0,0,0,14,14,64,8,0,0,100
g,13,0,0,41,49,6,4,0,0,0,0,23,29,43,5,0,0,100
h,13,0,0,56,44,0,0,0,0,0,0,11,33,24,32,0,0,100
i,13,0,0,64,36,0,0,0,0,0,0,19,17,51,13,0,0,100
j,13,0,0,72,28,0,0,0,0,0,0,16,12,58,14,0,0,100
