char,Status,Runtime,MIPGap,ObjVal,ofT,ofH,ofTx
a,9,7200.171847820282,0.12,224862.61,223718.41,1144,0.2
b,9,7205.373501062393,0.46,351483.33,350339.13,1144,0.2
c,2,1970.8612868785858,0.0,200941.69,199797.47,1144,0.22
d,9,7201.048109054565,1e+100,1e+100,0,0,0
e,2,4811.202104091644,0.0,212081.76,210937.56,1144,0.2
f,2,4865.632021188736,0.0,196958.74,195814.54,1144,0.2
g,9,7200.410825967789,0.18,272312.96,271168.67,1144,0.29
h,2,4618.105370998383,0.0,215084.69,213940.46,1144,0.23
i,2,7047.2466609478,0.0,188028.51,186884.3,1144,0.22
j,9,7200.762333869934,0.04,207224.87,206080.67,1144,0.2
Average,,5932.08,1e+99,1e+99,205868.12,1029.6,0.2
