char,v_1,v_0,pw_0,pw_1,pw_3,pw_5,pw_10,pw_15,pw_25,pw_39,pw_50,sf_7,sf_8,sf_9,sf_10,sf_11,sf_12,sf_total
a,4,0,0,19,6,0,0,0,0,0,0,3,3,17,2,0,0,25
b,4,0,0,21,4,0,0,0,0,0,0,2,1,15,7,0,0,25
c,4,0,0,20,5,0,0,0,0,0,0,0,5,16,4,0,0,25
d,4,0,0,2,23,0,0,0,0,0,0,10,13,2,0,0,0,25
e,4,0,0,19,6,0,0,0,0,0,0,3,3,19,0,0,0,25
f,4,0,0,25,0,0,0,0,0,0,0,0,0,15,10,0,0,25
g,4,0,0,24,1,0,0,0,0,0,0,0,1,21,3,0,0,25
h,4,0,0,24,1,0,0,0,0,0,0,1,0,24,0,0,0,25
i,4,0,0,16,9,0,0,0,0,0,0,3,6,12,4,0,0,25
j,4,0,0,25,0,0,0,0,0,0,0,0,0,17,8,0,0,25
