char,Status,Runtime,MIPGap,ObjVal,ofT,ofH,ofTx
a,2,3.2138259410858154,0.0,82681.66,82329.61,352,0.05
b,2,2.2205770015716553,0.0,70746.73,70394.68,352,0.05
c,2,6.881634950637817,0.0,132254.68,131902.63,352,0.05
d,2,5.004617929458618,0.0,69580.11,69228.04,352,0.08
e,2,2.902315139770508,0.0,224165.14,223813.09,352,0.05
f,2,13.022804021835327,0.0,193472.19,193120.15,352,0.04
g,2,6.711525917053223,0.0,167892.2,167540.16,352,0.04
h,2,8.329215049743652,0.0,142865.3,142513.26,352,0.04
i,2,12.587755918502808,0.0,125189.43,124837.38,352,0.05
j,2,9.20085096359253,0.0,278083.1,277731.06,352,0.04
Average,,7.01,0.0,148693.05,148341.01,352.0,0.05
